A FEED,D FEED
3642.60 ,4539.60 
3694.80 ,4513.80 
3683.50 ,4504.90 
3653.90 ,4531.90 
3629.30 ,4527.00 
3681.90 ,4485.60 
3712.50 ,4511.70 
3722.70 ,4518.30 
3684.00 ,4510.00 
3643.70 ,4476.70 
3674.90 ,4501.80 
3642.90 ,4532.30 
3667.80 ,4518.70 
3650.00 ,4520.00 
3678.00 ,4511.30 
3661.70 ,4508.20 
3643.30 ,4483.80 
3615.00 ,4497.70 
3696.10 ,4568.10 
3662.90 ,4525.30 
3654.50 ,4528.80 
3644.60 ,4532.30 
3669.60 ,4539.70 
3683.70 ,4532.30 
3672.70 ,4491.60 
3643.20 ,4523.50 
3648.30 ,4563.50 
3670.20 ,4595.30 
3677.10 ,4488.30 
3651.70 ,4535.10 
3652.00 ,4441.60 
3668.70 ,4492.50 
3633.70 ,4552.10 
3617.30 ,4559.20 
3593.70 ,4517.60 
3647.60 ,4531.60 
3695.70 ,4537.20 
3669.70 ,4557.30 
3637.60 ,4508.30 
3649.30 ,4498.80 
3695.60 ,4537.20 
3682.10 ,4535.40 
3662.80 ,4551.80 
3682.00 ,4548.50 
3664.90 ,4573.50 
3650.40 ,4551.00 
3716.40 ,4532.30 
3686.40 ,4542.70 
3626.30 ,4540.10 
3664.20 ,4523.20 
3631.50 ,4483.70 
3628.00 ,4507.60 
3663.20 ,4486.70 
3651.30 ,4519.30 
3645.60 ,4511.00 
3600.80 ,4492.50 
3673.70 ,4490.70 
3658.00 ,4477.70 
3679.70 ,4487.90 
3684.40 ,4475.30 
3668.30 ,4469.50 
3703.30 ,4419.80 
3641.60 ,4516.50 
3671.60 ,4501.40 
3702.80 ,4535.80 
3660.20 ,4534.70 
3584.40 ,4532.10 
3639.40 ,4523.60 
3638.20 ,4461.00 
3621.00 ,4481.90 
3662.30 ,4437.20 
3678.80 ,4462.70 
3711.20 ,4481.70 
3711.20 ,4496.40 
3665.80 ,4511.80 
3667.70 ,4565.30 
3646.80 ,4499.10 
3656.70 ,4478.80 
3643.90 ,4523.60 
3636.80 ,4545.90 
3667.30 ,4478.40 
3665.10 ,4473.00 
3692.70 ,4499.80 
3695.40 ,4487.40 
3686.60 ,4513.80 
3714.70 ,4500.30 
3654.80 ,4533.00 
3639.50 ,4523.30 
3718.30 ,4480.30 
3692.20 ,4502.00 
3677.60 ,4510.80 
3643.40 ,4540.70 
3624.50 ,4543.50 
3650.60 ,4526.40 
3660.60 ,4498.00 
3678.50 ,4466.60 
3666.10 ,4494.20 
3672.50 ,4504.90 
3680.10 ,4524.20 
3679.20 ,4486.80 
3663.90 ,4443.40 
3640.50 ,4452.30 
3615.40 ,4483.80 
3613.80 ,4487.30 
3601.80 ,4486.00 
3627.30 ,4555.80 
3657.50 ,4469.10 
3666.90 ,4506.40 
3660.10 ,4544.70 
3726.20 ,4505.00 
3656.70 ,4521.20 
3644.70 ,4544.00 
3650.40 ,4541.50 
3614.80 ,4498.50 
3652.70 ,4437.50 
3655.20 ,4517.50 
3725.10 ,4570.00 
3686.90 ,4534.80 
