filename, H,C,N,O, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen ,largest_pore_diam1,largest_pore_diam2,density,ASA_unit_volume,ASA_unit_mass,helium void fraction,Henry Coef of propane,Henry Coef of propene,avg_loading_absolute_propane-1,avg_loading_absolute_propene-1,avg_loading_absolute_propane-0.1,avg_loading_absolute_propene-0.1,wc-propane,wc-propene,S-propane-1,S-propene-1,APS-propane,APS-propene
hMOF-5035414.cif,6,34,2,8,26.5,5.882352941,4,0.322580645,1.019354839,0.25,7.58688,7.03481,2.02859,1327,654.148,0.727832,0.0725664,0.0299323,1.436749855,1.414173732,1.423453518,1.184921789,0.013296336,0.229251943,1.018002791,0.982315578,0.013535707,0.225197755
hMOF-12073.cif,13,52,0,13,39,7.692307692,3.25,0.288659794,0.918762887,0,7.08549,4.3423,1.84322,1277.88,693.286,0.623021,0.0372192,0.0159699,1.690331857,1.305266377,1.585847229,1.158351471,0.104484628,0.146914906,1.297607654,0.770648968,0.135580052,0.113219821
hMOF-5890.cif,16,64,0,52,49,25,3.25,0.414634146,1.39902439,0,2.97193,2.40461,2.91841,0,0,0.129865,2.45E-42,7.95E-32,0,0,0,0,0,0,0,0,0,0
hMOF-5081877.cif,10,60,18,12,51.5,3.333333333,6,0.294117647,0.941176471,1.5,7.39606,6.02838,0.772288,2010.69,2603.55,0.759378,0.0029119,0.00153322,4.96328422,3.35239268,4.075371085,2.367298971,0.887913135,0.985093709,1.483490724,0.674085779,1.317210899,0.66403766
hMOF-3001265.cif,160,180,16,64,97,8.888888889,4,0.183486239,0.616513761,0.25,13.89016,10.8468,0.286343,1734.91,6058.86,0.881275,3.08E-05,2.56E-05,1.521596912,1.266911262,0.156712865,0.131582137,1.364884048,1.135329125,1.203438759,0.83095213,1.642554364,0.943404155
hMOF-5038602.cif,24,52,4,30,40,7.692307692,7.5,0.298245614,1.011929825,0.133333333,4.90613,3.79828,0.875591,854.874,976.339,0.56818,0.000305154,0.000283737,3.087145659,2.883976426,1.819310529,1.646872921,1.267835131,1.237103505,1.072595543,0.932317877,1.359874311,1.153373713
hMOF-35128.cif,20,88,4,16,64,4.545454545,4,0.3,0.938,0.25,5.07101,4.75347,2.12455,1129.96,531.862,0.708204,5.08615,1.86751,1.38965917,0.852403861,1.409505738,0.683083131,-0.019846568,0.169320729,1.633553877,0.61216224,-0.032420438,0.103651757
hMOF-35384.cif,10,28,2,8,20.5,7.142857143,4,0.285714286,0.917142857,0.25,6.96519,5.8502,1.4412,1747.73,1212.69,0.721111,0.0207258,0.00930879,2.510671931,1.688622462,2.339231058,1.257956175,0.171440873,0.430666287,1.489800028,0.671231025,0.255412618,0.289076573
hMOF-5055910.cif,20,88,8,24,63,4.545454545,6,0.348837209,1.103255814,0.333333333,4.70536,3.49333,2.7303,0,0,0.514674,39.9898,14.4753,0.662312904,0.506090402,0.722231827,0.309781882,-0.059918923,0.19630852,1.311310954,0.762595628,-0.07857234,0.149704019
hMOF-6004247.cif,22,92,4,30,62,6.52173913,5,0.375,1.22625,0.133333333,15.6441,12.60515,0.747454,1493,1997.45,0.7681,0.000487944,0.000338999,4.829153351,3.466505298,1.426685391,0.994535139,3.40246796,2.471970159,1.395885196,0.716391292,4.749454657,1.770897897
hMOF-5011056.cif,19,30,0,13,13,13.33333333,3.25,0.361445783,1.186024096,0,9.70489,4.65277,1.19219,1438.8,1206.86,0.51781,0.000205008,0.000136942,2.167764193,1.473919161,1.250446749,0.793634871,0.917317444,0.68028429,1.473699536,0.678564372,1.351850292,0.461616682
hMOF-5023603.cif,144,240,8,26,167,3.333333333,3.25,0.079812207,0.267042254,0.307692308,9.46081,2.98625,0.810855,0,0,0.606969,0.006787,0.00387961,3.744209961,2.869194529,3.389680039,2.154223351,0.354529922,0.714971178,1.307587539,0.764767153,0.463578908,0.546786473
hMOF-5074377.cif,11,32,2,8,21.5,6.25,4,0.318181818,1.002424242,0.25,13.51713,12.85599,1.3131,1432.15,1090.66,0.790126,0.00106159,0.000683959,3.226686461,2.504586074,2.427642398,1.597470136,0.799044063,0.907115938,1.290896366,0.774655523,1.031483077,0.702702372
hMOF-5067142.cif,16,36,2,8,19.5,5.555555556,4,0.341463415,1.059512195,0.25,5.23533,4.58384,2.44388,606.614,248.218,0.380869,0.0279793,0.0154201,0.68249876,0.539597726,0.67253148,0.440329461,0.009967279,0.099268264,1.267366808,0.789037549,0.012632199,0.078326388
